LAD23CD,2026_housing_price,2026_housing_price_ci_lower,2026_housing_price_ci_upper,2026_housing_price_feature_importance,2027_housing_price,2027_housing_price_ci_lower,2027_housing_price_ci_upper,2027_housing_price_feature_importance,2028_housing_price,2028_housing_price_ci_lower,2028_housing_price_ci_upper,2028_housing_price_feature_importance,2029_housing_price,2029_housing_price_ci_lower,2029_housing_price_ci_upper,2029_housing_price_feature_importance,2030_housing_price,2030_housing_price_ci_lower,2030_housing_price_ci_upper,2030_housing_price_feature_importance,2025_affordability_ratio,2025_affordability_ratio_ci_lower,2025_affordability_ratio_ci_upper,2025_affordability_ratio_feature_importance,2026_affordability_ratio,2026_affordability_ratio_ci_lower,2026_affordability_ratio_ci_upper,2026_affordability_ratio_feature_importance,2027_affordability_ratio,2027_affordability_ratio_ci_lower,2027_affordability_ratio_ci_upper,2027_affordability_ratio_feature_importance,2028_affordability_ratio,2028_affordability_ratio_ci_lower,2028_affordability_ratio_ci_upper,2028_affordability_ratio_feature_importance,2029_affordability_ratio,2029_affordability_ratio_ci_lower,2029_affordability_ratio_ci_upper,2029_affordability_ratio_feature_importance,LAD23NM,LAD23NMW,ObjectId
E06000001,135588.4,121079.3,150097.4,"{""net_additional_dwellings"": 10402.90625, ""job_density"": -500.67694091796875, ""population"": -391.3203430175781}",136929.6,112921.6,160937.7,"{""net_additional_dwellings"": 14675.5673828125, ""job_density"": 3554.44189453125, ""population"": -2693.694091796875}",144454.5,114714.1,174194.9,"{""net_additional_dwellings"": 28361.9296875, ""job_density"": 20018.080078125, ""population"": -9190.283203125}",150456,113616.7,187295.2,"{""net_additional_dwellings"": 2613.819580078125, ""job_density"": 3421.80078125, ""population"": -1749.4613037109375}",157432.8,127729.4,187136.3,"{""net_additional_dwellings"": 176.69940185546875, ""job_density"": 4690.77978515625, ""population"": -3479.103271484375}",6,5.2,6.7,"{""net_additional_dwellings"": -0.06045852601528168, ""job_density"": -0.906287431716919, ""population"": 0.09034942090511322}",5.8,5,6.7,"{""net_additional_dwellings"": 0.9875991344451904, ""job_density"": 0.2675933539867401, ""population"": -0.11517658084630966}",5.6,4.6,6.7,"{""net_additional_dwellings"": 1.5962932109832764, ""job_density"": 0.799332320690155, ""population"": -0.27464818954467773}",6.1,4.8,7.4,"{""net_additional_dwellings"": -0.1562277376651764, ""job_density"": -0.2069452553987503, ""population"": -0.39944523572921753}",6,4.6,7.4,"{""net_additional_dwellings"": -0.07634072005748749, ""job_density"": -0.019181251525878906, ""population"": -0.21977770328521729}",Hartlepool,,1
E06000002,136599.1,121982,151216.3,"{""net_additional_dwellings"": -557.8833618164062, ""job_density"": 1975.8226318359375, ""population"": 686.2984008789062}",142847.8,117802.1,167893.6,"{""net_additional_dwellings"": 3582.525146484375, ""job_density"": 1433.580078125, ""population"": 1111.04833984375}",149863.7,119009.7,180717.8,"{""net_additional_dwellings"": -3777.402587890625, ""job_density"": 9098.7392578125, ""population"": 1647.828125}",167845.5,126748.4,208942.6,"{""net_additional_dwellings"": -2995.94775390625, ""job_density"": -1889.567626953125, ""population"": -271.36346435546875}",171821,139403,204239.1,"{""net_additional_dwellings"": -3410.772216796875, ""job_density"": 2060.814453125, ""population"": 184.646728515625}",5.5,4.8,6.2,"{""net_additional_dwellings"": -0.5388022661209106, ""job_density"": -0.3518185615539551, ""population"": -0.0966552197933197}",5.6,4.8,6.4,"{""net_additional_dwellings"": -0.4035055339336395, ""job_density"": 0.19147354364395142, ""population"": -0.11691677570343018}",5.6,4.6,6.7,"{""net_additional_dwellings"": -1.187119722366333, ""job_density"": -0.4950418770313263, ""population"": -0.07776197046041489}",5.9,4.6,7.2,"{""net_additional_dwellings"": -1.2323381900787354, ""job_density"": -0.8618370294570923, ""population"": 0.13141700625419617}",5.7,4.4,7.1,"{""net_additional_dwellings"": 0.34465426206588745, ""job_density"": -0.3859798014163971, ""population"": 0.5852912068367004}",Middlesbrough,,2
E06000003,149179.6,133216.2,165143,"{""net_additional_dwellings"": 8364.775390625, ""job_density"": -2241.213623046875, ""population"": 670.437255859375}",159116.9,131218.7,187015.1,"{""net_additional_dwellings"": 9510.287109375, ""job_density"": 5665.4423828125, ""population"": 1868.2740478515625}",159055.8,126309.3,191802.2,"{""net_additional_dwellings"": 13208.9052734375, ""job_density"": 21468.123046875, ""population"": 2110.8701171875}",161759.2,122152.3,201366,"{""net_additional_dwellings"": -1851.221923828125, ""job_density"": 3882.600341796875, ""population"": -782.7869873046875}",158165.4,128323.8,188007,"{""net_additional_dwellings"": 2963.24462890625, ""job_density"": 5003.3310546875, ""population"": -101.1751708984375}",6.3,5.5,7.1,"{""net_additional_dwellings"": -0.0961177721619606, ""job_density"": -0.9448040723800659, ""population"": 0.09978240728378296}",6.3,5.4,7.3,"{""net_additional_dwellings"": -0.05474501848220825, ""job_density"": 0.6690803170204163, ""population"": -0.038568973541259766}",6.5,5.3,7.8,"{""net_additional_dwellings"": -0.2287009060382843, ""job_density"": 1.1204030513763428, ""population"": -0.08899331837892532}",6.3,5,7.7,"{""net_additional_dwellings"": 0.07750695943832397, ""job_density"": -0.026080310344696045, ""population"": 0.3885994851589203}",5.9,4.6,7.3,"{""net_additional_dwellings"": -0.5033057928085327, ""job_density"": 0.39761626720428467, ""population"": 0.4877462387084961}",Redcar and Cleveland,,3
E06000004,168274.3,150267.6,186281,"{""net_additional_dwellings"": -3162.81005859375, ""job_density"": 2370.53173828125, ""population"": 763.5291748046875}",176053.5,145185.8,206921.3,"{""net_additional_dwellings"": -2081.052734375, ""job_density"": -2120.3466796875, ""population"": 2311.78125}",175301.1,139210,211392.2,"{""net_additional_dwellings"": 3193.415771484375, ""job_density"": -4505.048828125, ""population"": 4270.30859375}",190294.5,143700.8,236888.3,"{""net_additional_dwellings"": 1515.156982421875, ""job_density"": -2214.3818359375, ""population"": 1509.8443603515625}",194030.5,157422,230638.9,"{""net_additional_dwellings"": -4269.2578125, ""job_density"": 1687.9208984375, ""population"": 3318.748291015625}",6.2,5.4,7,"{""net_additional_dwellings"": -1.06650710105896, ""job_density"": -0.569175124168396, ""population"": 0.08766836673021317}",6.6,5.7,7.6,"{""net_additional_dwellings"": -0.7326960563659668, ""job_density"": 0.06094717979431152, ""population"": 0.2204967886209488}",6.4,5.2,7.6,"{""net_additional_dwellings"": -0.9261366128921509, ""job_density"": -0.580604076385498, ""population"": 0.2027614265680313}",6.4,5,7.8,"{""net_additional_dwellings"": -2.26822829246521, ""job_density"": -0.6228477358818054, ""population"": 0.4236479699611664}",6.7,5.2,8.3,"{""net_additional_dwellings"": -1.2237510681152344, ""job_density"": 0.19266492128372192, ""population"": 0.7739081978797913}",Stockton-on-Tees,,4
E06000005,157532.4,140675.2,174389.6,"{""net_additional_dwellings"": 1353.8065185546875, ""job_density"": 1584.4949951171875, ""population"": -182.0101318359375}",164106.6,135333.5,192879.6,"{""net_additional_dwellings"": 4431.74169921875, ""job_density"": -2340.26708984375, ""population"": -1621.1341552734375}",159780.7,126885,192676.5,"{""net_additional_dwellings"": 2904.148193359375, ""job_density"": 4857.4130859375, ""population"": -6495.39892578125}",170252.7,128566.2,211939.2,"{""net_additional_dwellings"": -4930.94677734375, ""job_density"": -786.5823974609375, ""population"": -1363.7391357421875}",173990.9,141163.4,206818.4,"{""net_additional_dwellings"": -1599.10400390625, ""job_density"": -3027.411865234375, ""population"": -1429.17919921875}",6.1,5.3,6.8,"{""net_additional_dwellings"": 0.011172227561473846, ""job_density"": -0.4785621166229248, ""population"": 0.19222122430801392}",6.2,5.3,7.1,"{""net_additional_dwellings"": -0.4525678753852844, ""job_density"": -0.3201904296875, ""population"": 3.426987677812576e-05}",6,4.8,7.2,"{""net_additional_dwellings"": -0.678514838218689, ""job_density"": -0.3944087326526642, ""population"": -0.19392018020153046}",6.4,5.1,7.8,"{""net_additional_dwellings"": -1.0554720163345337, ""job_density"": -0.4133528470993042, ""population"": -0.19676664471626282}",6.2,4.8,7.6,"{""net_additional_dwellings"": -0.21156777441501617, ""job_density"": -0.4537695050239563, ""population"": -0.01587888039648533}",Darlington,,5
E06000006,182316.3,162807,201825.6,"{""net_additional_dwellings"": 8808.5732421875, ""job_density"": -340.4126281738281, ""population"": 1020.121337890625}",179370.5,147921.2,210819.8,"{""net_additional_dwellings"": 11801.4228515625, ""job_density"": -2705.53759765625, ""population"": 162.91558837890625}",183455.4,145685.5,221225.3,"{""net_additional_dwellings"": 37243.20703125, ""job_density"": -3010.68603515625, ""population"": 107.82183837890625}",203383.1,153584.6,253181.6,"{""net_additional_dwellings"": 8564.6162109375, ""job_density"": -1313.4013671875, ""population"": -869.5042724609375}",206222.6,167313.8,245131.3,"{""net_additional_dwellings"": 7095.908203125, ""job_density"": -3543.4404296875, ""population"": -216.75245666503906}",6.2,5.4,7,"{""net_additional_dwellings"": -0.07863378524780273, ""job_density"": -0.8001210689544678, ""population"": 0.21767981350421906}",6.6,5.6,7.5,"{""net_additional_dwellings"": 0.9750293493270874, ""job_density"": -0.6552218794822693, ""population"": 0.026217695325613022}",6.6,5.4,7.9,"{""net_additional_dwellings"": 1.226080298423767, ""job_density"": -0.4785926938056946, ""population"": -0.02354016900062561}",7.1,5.5,8.6,"{""net_additional_dwellings"": -0.29526519775390625, ""job_density"": -0.36604756116867065, ""population"": 0.061901964247226715}",6.7,5.2,8.3,"{""net_additional_dwellings"": 0.12371651828289032, ""job_density"": -0.792280375957489, ""population"": 0.3026546239852905}",Halton,,6
E06000007,265056,236692.9,293419.1,"{""net_additional_dwellings"": -9213.3359375, ""job_density"": 1845.2252197265625, ""population"": 1594.2471923828125}",265647.8,219071.4,312224.2,"{""net_additional_dwellings"": -2065.6318359375, ""job_density"": -4269.583984375, ""population"": 3834.214599609375}",271799.5,215841.3,327757.8,"{""net_additional_dwellings"": -20990.359375, ""job_density"": -11513.689453125, ""population"": 5307.4140625}",275084.7,207730,342439.3,"{""net_additional_dwellings"": -7031.40625, ""job_density"": -543.7445068359375, ""population"": 2667.65576171875}",296197.4,240312.8,352082.1,"{""net_additional_dwellings"": -4951.474609375, ""job_density"": -1985.55517578125, ""population"": 6520.6865234375}",8.2,7.2,9.3,"{""net_additional_dwellings"": -0.5097387433052063, ""job_density"": -0.5127219557762146, ""population"": 0.20356258749961853}",8.4,7.2,9.6,"{""net_additional_dwellings"": -0.39126378297805786, ""job_density"": -0.5983105301856995, ""population"": 0.33556386828422546}",8.6,6.9,10.2,"{""net_additional_dwellings"": -1.4825129508972168, ""job_density"": -0.4590132534503937, ""population"": 0.2871871590614319}",8.9,7,10.9,"{""net_additional_dwellings"": -2.6388025283813477, ""job_density"": -0.7221288681030273, ""population"": 0.421068012714386}",9.2,7.1,11.3,"{""net_additional_dwellings"": -1.066669225692749, ""job_density"": -0.7549906969070435, ""population"": 0.786564290523529}",Warrington,,7
E06000008,144786.1,129292.8,160279.3,"{""net_additional_dwellings"": 7852.6728515625, ""job_density"": 1592.288818359375, ""population"": 709.5930786132812}",155749,128441.3,183056.7,"{""net_additional_dwellings"": 7687.12158203125, ""job_density"": 416.5263977050781, ""population"": 1380.3143310546875}",157395.6,124990.9,189800.3,"{""net_additional_dwellings"": -3017.65087890625, ""job_density"": 5166.6650390625, ""population"": 3506.974609375}",168371.7,127145.8,209597.7,"{""net_additional_dwellings"": -4067.73486328125, ""job_density"": -1194.2349853515625, ""population"": -129.3438262939453}",163785.8,132883.7,194687.8,"{""net_additional_dwellings"": -1125.617431640625, ""job_density"": 2056.592041015625, ""population"": 1066.774169921875}",5.9,5.1,6.6,"{""net_additional_dwellings"": 0.03670312464237213, ""job_density"": -0.6091915965080261, ""population"": -0.059049949049949646}",5.9,5.1,6.8,"{""net_additional_dwellings"": -0.5735601186752319, ""job_density"": -0.3161144554615021, ""population"": 0.09041791409254074}",5.9,4.8,7.1,"{""net_additional_dwellings"": 0.3220747709274292, ""job_density"": -0.40039563179016113, ""population"": 0.01804325170814991}",5.6,4.4,6.8,"{""net_additional_dwellings"": -0.42456984519958496, ""job_density"": -0.83250892162323, ""population"": 0.35761499404907227}",5.8,4.4,7.1,"{""net_additional_dwellings"": -0.1779906302690506, ""job_density"": -0.18867084383964539, ""population"": 0.649195671081543}",Blackburn with Darwen,,8
E06000009,136555.2,121942.7,151167.7,"{""net_additional_dwellings"": 4048.846923828125, ""job_density"": 4633.17822265625, ""population"": 850.7988891601562}",138274.6,114030.7,162518.5,"{""net_additional_dwellings"": 8979.419921875, ""job_density"": -1951.3211669921875, ""population"": 1327.6602783203125}",137638.4,109301.3,165975.5,"{""net_additional_dwellings"": 31805.927734375, ""job_density"": 1810.6630859375, ""population"": 706.334228515625}",149069.4,112569.6,185569.1,"{""net_additional_dwellings"": 4465.86328125, ""job_density"": -812.118408203125, ""population"": -651.4659423828125}",160924.9,130562.6,191287.1,"{""net_additional_dwellings"": 6394.39599609375, ""job_density"": -1789.2908935546875, ""population"": 164.3837890625}",5.4,4.7,6.1,"{""net_additional_dwellings"": -0.40226882696151733, ""job_density"": -0.3738808035850525, ""population"": -0.06501245498657227}",5.4,4.7,6.2,"{""net_additional_dwellings"": 0.23687070608139038, ""job_density"": -0.23118531703948975, ""population"": -0.1066431850194931}",5.3,4.3,6.4,"{""net_additional_dwellings"": -0.596328854560852, ""job_density"": -0.5359562635421753, ""population"": -0.0648459941148758}",5.6,4.4,6.8,"{""net_additional_dwellings"": -0.73842453956604, ""job_density"": -0.5069640874862671, ""population"": 0.16475863754749298}",5.3,4.1,6.5,"{""net_additional_dwellings"": 0.3972782790660858, ""job_density"": -0.9463884830474854, ""population"": 0.49793002009391785}",Blackpool,,9
E06000010,133198.2,118945,147451.5,"{""net_additional_dwellings"": -4126.2734375, ""job_density"": 2756.380615234375, ""population"": 1078.631591796875}",141491,116683.1,166298.8,"{""net_additional_dwellings"": -1266.2623291015625, ""job_density"": -698.8094482421875, ""population"": 2822.17529296875}",143157.1,113683.8,172630.3,"{""net_additional_dwellings"": -2704.474609375, ""job_density"": 558.9052734375, ""population"": 6879.125}",166763.4,125931.3,207595.6,"{""net_additional_dwellings"": -3270.83203125, ""job_density"": -1660.3643798828125, ""population"": 1223.286376953125}",168882,137018.4,200745.5,"{""net_additional_dwellings"": -4080.455810546875, ""job_density"": 1559.9326171875, ""population"": 3759.66796875}",5.2,4.5,5.8,"{""net_additional_dwellings"": -0.9698570966720581, ""job_density"": -0.3808445632457733, ""population"": 0.09771187603473663}",5.3,4.5,6,"{""net_additional_dwellings"": -0.7710627913475037, ""job_density"": -0.3494950532913208, ""population"": 0.2838602066040039}",5.4,4.3,6.4,"{""net_additional_dwellings"": -1.5531337261199951, ""job_density"": -0.464663028717041, ""population"": 0.4047371447086334}",5.7,4.5,6.9,"{""net_additional_dwellings"": -2.2142419815063477, ""job_density"": -0.9067326784133911, ""population"": 0.6620892286300659}",5.6,4.3,6.8,"{""net_additional_dwellings"": -0.7451769709587097, ""job_density"": -0.1784481406211853, ""population"": 0.6100125312805176}","Kingston upon Hull, City of",,10
